1 64 75803 66555
2 63 64659 66555
3 61 75118 66555
4 58 75504 66555
5 62 73662 66555
6 63 63785 66555
7 64 63399 66555
8 63 63785 66555
9 65 55842 66555
10 67 48112 66555
11 65 55842 66555
12 66 70285 66555
13 62 61037 66555
14 64 53307 66555
15 62 63184 66555
16 64 62798 66555
17 66 73942 66555
18 68 80846 66555
19 67 88789 66555
20 71 88784 88784
21 68 89170 88784
22 69 78026 88784
23 66 63583 88784
24 65 67094 88784
25 64 78238 88784
26 62 78243 88784
27 60 64342 88784
28 58 57438 88784
29 61 57052 88784
30 63 51159 88784
31 65 59811 88784
32 63 65704 88784
33 65 72608 88784
34 66 80338 88784
35 66 72118 88784
36 64 72504 88784
37 64 81752 88784
38 64 91671 88784
39 62 81212 88784
40 61 75319 88784
41 61 77161 88784
42 62 87620 88784
43 61 95840 88784
44 62 84696 88784
45 61 81185 88784
46 64 95086 88784
47 65 98597 88784
48 62 89349 88784
49 59 80697 88784
50 59 70820 88784
51 58 63916 88784
52 60 56186 88784
53 63 65434 88784
54 62 71327 88784
55 62 78231 88784
56 61 67772 88784
57 59 73521 88784
58 61 70010 88784
59 63 84453 88784
60 62 89163 88784
61 66 89158 88784
62 65 79239 88784
63 63 69991 88784
64 64 79910 88784
65 59 65467 88784
66 58 55548 88784
67 60 49799 88784
68 60 59676 88784
69 60 70820 88784
70 63 79472 88784
71 63 89391 88784
72 64 98639 88784
73 61 89987 88784
74 59 97717 88784
75 61 93007 88784
76 62 85277 88784
77 64 83435 88784
78 64 75215 88784
79 64 65338 88784
80 64 58434 88784
81 66 58048 88784
82 66 64952 88784
83 64 66794 88784
84 63 58851 88784
85 65 57009 88784
86 65 65229 88784
87 65 71455 88784
88 65 81332 88784
89 65 71413 88784
90 66 79143 88784
91 65 71413 88784
92 65 63193 88784
93 63 65035 88784
94 65 73687 88784
95 68 84146 88784
96 69 87657 88784
97 68 92367 88784
98 67 100097 88784
99 67 108040 88784
100 68 117959 88784
101 68 116117 88784
102 67 109891 88784
103 68 99972 88784
104 65 100358 88784
105 63 90481 88784
106 62 98701 88784
107 60 88242 88784
108 62 80512 88784
109 66 94955 88784
110 65 102685 88784
111 65 94465 88784
112 64 100214 88784
113 64 92484 88784
114 65 92098 88784
115 64 92484 88784
116 64 100214 88784
117 66 95504 88784
118 68 95118 88784
119 67 87175 88784
120 65 87561 88784
121 65 76417 88784
122 64 78259 88784
123 68 88136 88784
124 68 98595 88784
125 70 96753 88784
126 69 104973 88784
127 63 104978 88784
128 64 112921 88784
129 61 103044 88784
130 63 112963 88784
131 65 122840 88784
132 64 114897 88784
